codigo_zapimoveis,data_criacao,codigo_anunciante,imobiliaria,data_coleta,valor,condominio,iptu,endereco,floorSize,numberOfRooms,numberOfBathroomsTotal,numberOfParkingSpaces,floorLevel,numberOfSuites,PETS_ALLOWED,POOL,ELEVATOR,INTERCOM,PORCELAIN,BARBECUE_GRILL,SERVICE_AREA,LAVABO,KITCHEN,GYM,GARDEN,FURNISHED,GOURMET_KITCHEN,LUNCH_ROOM,TEEN_SPACE,FOOTBALL_FIELD,NATURAL_VENTILATION,AMERICAN_KITCHEN,GATED_COMMUNITY,GUEST_PARKING,RECREATION_AREA,SQUARE,PATROL,PET_SPACE,ADULT_POOL,ELECTRONIC_GATE,PARKING,DISABLED_ACCESS,GRASS,SECURITY_CABIN,CHILDRENS_POOL,INTEGRATED_ENVIRONMENTS,AIR_CONDITIONING,SECURITY_CAMERA,TOYS_PLACE,PLAYGROUND,DINNER_ROOM,GAMES_ROOM,CONCIERGE_24H,PARTY_HALL,SAFETY_CIRCUIT,GOURMET_SPACE,SPORTS_COURT,CINEMA,BACKYARD,COPA,BALCONY,ENTRANCE_HALL,COWORKING,POOL_BAR,GOURMET_BALCONY,PANORAMIC_VIEW,DECK,INTERNET_ACCESS,WATER_TANK,GREEN_SPACE,LAUNDRY,ALARM_SYSTEM,BATHROOM_CABINETS,LARGE_KITCHEN,CLOSET,EMPLOYEE_DEPENDENCY,LARGE_ROOM,DEPOSIT,BUILTIN_WARDROBE,BEDROOM_WARDROBE,FULL_FLOOR,HOME_OFFICE,KITCHEN_CABINETS,SQUASH,TENNIS_COURT,HIGH_CEILING_HEIGHT,PANTRY,BICYCLES_PLACE,RECEPTION,ZEN_SPACE,WHIRLPOOL,MEETING_ROOM,MOUNTAIN_VIEW,SANCA,PRIVATE_POOL,SAUNA,BLINDEX_BOX,COVENTION_HALL,SERVICE_ENTRANCE,MASSAGE_ROOM,SPA,HIKING_TRAIL,SOLAR_ENERGY,SERVICE_BATHROOM,FIREPLACE,SLAB,STAIR,ECO_GARBAGE_COLLECTOR,PAVED_STREET,ELECTRIC_GENERATOR,PLANNED_FURNITURE,MASSAGE,BEAUTY_ROOM,MEZZANINE,ADMINISTRATION,STORES,BARBECUE_BALCONY,CARETAKER,ELETRIC_CHARGER,ARMORED_SECURITY_CABIN,LARGE_WINDOW,SMART_CONDOMINIUM,HEATING,ALUMINUM_WINDOW,LAKE_VIEW,FRUIT_TREES,POMAR,HEATED_POOL,TREE_CLIMBING,GOLF_FIELD,SOUNDPROOFING,COLD_FLOOR,SERVICE_ROOM,LAKE,SEA_VIEW,PIZZA_OVEN,WATCHMAN,BAR,DIGITAL_LOCKER,FENCE,SEMI_OLYMPIC_POOL,CABLE_TV,SAND_PIT,WALL_BALCONY,INDOOR_SOCCER,BEAUTY_CENTER,BATHTUB,SMART_APARTMENT,DRESS_ROOM2,REDARIO,WELL,SIDE_ENTRANCE,SMALL_ROOM,COVERAGE,CARETAKER_HOUSE,COOKER,BARN,SOLARIUM,LAMINATED_FLOOR,VEGETABLE_GARDEN,RESTAURANT,COFFEE_SHOP,CORNER_PROPERTY,REFLECTING_POOL,GEMINADA,GAS_SHOWER,FITNESS_ROOM,WALLS_GRIDS,REVERSIBLE_ROOM,DIVIDERS,RAISED_FLOOR,BACKGROUND_HOUSE,CLIMBING_WALL,DOG_KENNEL,HEADQUARTERS,HALF_FLOOR,RIVER,LIBRARY,LAND,VINYL_FLOOR,HOT_TUB,THERMAL_INSULATION,COVERED_POOL,PLATIBANDA,CHILDREN_CARE,AQUARIUM
2771378337,15/01/2025,154518,Fa Negócios Imobiliários,10/07/2025,R$ 2.500.000,isento,isento,"Rua Fernandes Vieira - Mirante, Campina Grande - PB",400 m²,5 quartos,5 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2596142760,28/11/2022,45119,Fa Negócios Imobiliários,10/07/2025,R$ 407.734,isento,isento,"Rua Doutor João Honório de Melo - Catole, Campina Grande - PB",68 m²,3 quartos,2 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625261840,10/04/2023,CA0418,Bens Imobiliaria E Empreendimentos Ltda - Me,10/07/2025,R$ 549.000,isento,não informado,"Rua Presidente Roosevelt, 255 - Alto Branco, Campina Grande - PB",293 m²,5 quartos,3 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725645987,01/07/2024,CCPLANKYGBINCO01,Elsom Mendes,10/07/2025,R$ 759.900,não informado,não informado,"Avenida Manoel Tavares, 11111 - Alto Branco, Campina Grande - PB",169 m²,3 quartos,3 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819747069,08/07/2025,427436F,Newcore,10/07/2025,R$ 2.599.320,R$ 1,R$ 1,"Rua Fernandes Vieira, 700 - Mirante, Campina Grande - PB",400 m²,5 quartos,5 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798182814,16/04/2025,9813,Venda De Imóveis,10/07/2025,R$ 509.000,não informado,não informado,"Rua Nossa Senhora de Lourdes, 1 - Jardim Tavares, Campina Grande - PB",171 m²,3 quartos,5 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635424421,29/05/2023,F950VP,Diego Costa Halule,10/07/2025,R$ 530.000,não informado,não informado,"Rua Conselheiro Paulo Araújo Soares, 150 - Alto Branco, Campina Grande - PB",87 m²,3 quartos,2 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635100322,27/05/2023,kk,Selena Maria Mello Galdino,10/07/2025,R$ 380.000,isento,isento,"Cruzeiro, Campina Grande - PB",100 m²,3 quartos,1 banheiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780355948,20/02/2025,Cobertura Açude Velho,Henrique Brandão,10/07/2025,R$ 790.000,R$ 800,R$ 1.200,"Rua Paulo de Frontin, 382 - Catole, Campina Grande - PB",176 m²,3 quartos,4 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813644149,12/06/2025,JBENIVERONJOHNDANCA,Júlio C. B. Marques,10/07/2025,R$ 1.080.000,R$ 1.400,não informado,"Rua Paulo de Frontin, 50 - Centro, Campina Grande - PB",155 m²,3 quartos,5 banheiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
